2020年12月1日 至 2020年12月21日 的交易一览
交易： 600     此报告显示不完整，因为超过了 600 条交易记录的最大限制。如果交易报告包含的数据超过 600 条，请使用“所有结算”或“日期范围报告”链接。

日期	订单编号	SKU	交易类型	付款类型	付款详情	金额	数量	商品名称
2020-12-21	702-8489243-0860243	ZR-ZWJ-BK-12	订单付款	亚马逊所收费用	亚马逊物流基础服务费：	CAD-12.83		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-8489243-0860243	ZR-ZWJ-BK-12	订单付款	亚马逊所收费用	商品价格的销售佣金：	CAD-7.95		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-8489243-0860243	ZR-ZWJ-BK-12	订单付款	促销返点		CAD0.00	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-8489243-0860243	ZR-ZWJ-BK-12	订单付款	促销返点		CAD0.00	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-8489243-0860243	ZR-ZWJ-BK-12	订单付款	商品价格		CAD52.99	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-1715798-4045053	ZR-ZWJ-BK-12	订单付款	亚马逊所收费用	亚马逊物流基础服务费：	CAD-12.83		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-1715798-4045053	ZR-ZWJ-BK-12	订单付款	亚马逊所收费用	商品价格的销售佣金：	CAD-7.95		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-1715798-4045053	ZR-ZWJ-BK-12	订单付款	促销返点		CAD0.00	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-1715798-4045053	ZR-ZWJ-BK-12	订单付款	促销返点	配送：	CAD-3.92		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-1715798-4045053	ZR-ZWJ-BK-12	订单付款	商品价格		CAD52.99	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	702-1715798-4045053	ZR-ZWJ-BK-12	订单付款	其他	配送：	CAD3.92		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	亚马逊所收费用	亚马逊物流基础服务费：	CAD-10.89		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	亚马逊所收费用	商品价格的销售佣金：	CAD-5.25		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	促销返点		CAD0.00	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	促销返点		CAD0.00	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	促销返点	配送：	CAD-4.08		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	商品价格		CAD34.99	1	SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-4273943-8368206	ZR-ZWJ-BK-6	订单付款	其他	配送：	CAD4.08		SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	亚马逊所收费用	亚马逊物流基础服务费：	CAD-19.92		SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	亚马逊所收费用	商品价格的销售佣金：	CAD-10.50		SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	促销返点		CAD0.00	1	SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	促销返点		CAD0.00	1	SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	促销返点	配送：	CAD-6.84		SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	商品价格		CAD69.99	1	SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
2020-12-21	701-2291547-0320253	ZR-TW-WT-12	订单付款	其他	配送：	CAD6.84		SIMPDIY Bookshelf with Multi-Function Space-Saving 12 Cubes White Metal Organizer Wire Shelves Cubes Storage Portable Storage Shelf Racks
