2020年12月1日 至 2020年12月13日 的交易一览
交易： 47

日期	订单编号	SKU	交易类型	付款类型	付款详情	金额	数量	商品名称
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	亚马逊所收费用	商品价格的销售佣金：	€7.80		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	亚马逊所收费用	退款管理费用：	€-1.56		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	促销返点	运费税：	€0.54		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	促销返点	配送：	€3.35		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	商品价格		€-44.82	1	PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	其他	商品税：	€-7.17		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	其他	运费税：	€-0.54		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	028-9154910-6701967	YG-GM-BK-10	退款	其他	配送：	€-3.35		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-10	退款	亚马逊所收费用	商品价格的销售佣金：	€7.80		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-10	退款	亚马逊所收费用	退款管理费用：	€-1.56		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-10	退款	商品价格		€-44.82	1	PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-10	退款	其他	商品税：	€-7.17		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-16	退款	亚马逊所收费用	商品价格的销售佣金：	€10.80		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 16 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-16	退款	亚马逊所收费用	退款管理费用：	€-2.16		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 16 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-16	退款	商品价格		€-62.06	1	PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 16 Würfel
2020-12-12	305-4633909-6622754	YG-GM-BK-16	退款	其他	商品税：	€-9.93		PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 16 Würfel
2020-12-12	304-0366811-4301116	XG-GM-WHT2/7	退款	亚马逊所收费用	商品价格的销售佣金：	€7.11		JOISCOPE PREMAG Portable Schuhablage Organizer Tower, weiß, modulare Schrankregal für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Haussch
2020-12-12	304-0366811-4301116	XG-GM-WHT2/7	退款	亚马逊所收费用	退款管理费用：	€-1.42		JOISCOPE PREMAG Portable Schuhablage Organizer Tower, weiß, modulare Schrankregal für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Haussch
2020-12-12	304-0366811-4301116	XG-GM-WHT2/7	退款	商品价格		€-47.41	1	JOISCOPE PREMAG Portable Schuhablage Organizer Tower, weiß, modulare Schrankregal für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Haussch
2020-12-11	305-2142631-6708337	XG-GM-YHBLK3/5	退款	亚马逊所收费用	商品价格的销售佣金：	€11.25		PREMAG Portable Schuhablage Organizer Tower, Schwarz mit Transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuh
2020-12-11	305-2142631-6708337	XG-GM-YHBLK3/5	退款	亚马逊所收费用	退款管理费用：	€-2.25		PREMAG Portable Schuhablage Organizer Tower, Schwarz mit Transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuh
2020-12-11	305-2142631-6708337	XG-GM-YHBLK3/5	退款	商品价格		€-64.65	1	PREMAG Portable Schuhablage Organizer Tower, Schwarz mit Transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuh
2020-12-11	305-2142631-6708337	XG-GM-YHBLK3/5	退款	其他	商品税：	€-10.34		PREMAG Portable Schuhablage Organizer Tower, Schwarz mit Transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuh
2020-12-11	302-8466185-6377967	YG-GM-WHT-10	退款	亚马逊所收费用	商品价格的销售佣金：	€7.80		PREMAG Portable Garderobe für hängende Kleidung, Kombischrank, modulare Schrank für platzsparende, ideale Storage Organizer Cube für Bücher, Spie
2020-12-11	302-8466185-6377967	YG-GM-WHT-10	退款	亚马逊所收费用	退款管理费用：	€-1.56		PREMAG Portable Garderobe für hängende Kleidung, Kombischrank, modulare Schrank für platzsparende, ideale Storage Organizer Cube für Bücher, Spie
2020-12-11	302-8466185-6377967	YG-GM-WHT-10	退款	商品价格		€-43.32	1	PREMAG Portable Garderobe für hängende Kleidung, Kombischrank, modulare Schrank für platzsparende, ideale Storage Organizer Cube für Bücher, Spie
2020-12-11	302-8466185-6377967	YG-GM-WHT-10	退款	其他	商品税：	€-8.67		PREMAG Portable Garderobe für hängende Kleidung, Kombischrank, modulare Schrank für platzsparende, ideale Storage Organizer Cube für Bücher, Spie
2020-12-10	305-4898971-3087559	XG-GM-YHWHT3/7	退款	亚马逊所收费用	商品价格的销售佣金：	€11.25		PREMAG Portable Shoe Storage Organizer Tower, Weiß mit transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuhe
