2020年12月1日 至 2020年12月31日 的交易一览
交易： 178

日期	订单编号	SKU	交易类型	付款类型	付款详情	金额	数量	商品名称
2020-12-31	112-2227088-1154643	AN-US-BMW12	退款	亚马逊所收费用	商品价格的销售佣金：	US$10.50		MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving
2020-12-31	112-2227088-1154643	AN-US-BMW12	退款	亚马逊所收费用	退款管理费用：	US$-2.10		MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving
2020-12-31	112-2227088-1154643	AN-US-BMW12	退款	商品价格		US$-69.99	1	MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving
2020-12-31	112-2227088-1154643	AN-US-BMW12	退款	其他	重新入库费：	US$14.00		MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving
2020-12-31	111-9071712-2341839	AN-US-HQBM20	退款	亚马逊所收费用	商品价格的销售佣金：	US$14.85		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-9071712-2341839	AN-US-HQBM20	退款	亚马逊所收费用	退款管理费用：	US$-2.97		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-9071712-2341839	AN-US-HQBM20	退款	商品价格		US$-98.99	1	JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-9071712-2341839	AN-US-HQBM20	退款	其他	商品税：	US$-7.67		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-8218672-5180214	AN-US-TMWHT27	退款	亚马逊所收费用	商品价格的销售佣金：	US$9.75		JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (white,2x7-tier)
2020-12-31	112-8218672-5180214	AN-US-TMWHT27	退款	亚马逊所收费用	退款管理费用：	US$-1.95		JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (white,2x7-tier)
