2020年12月18日 至 2020年12月20日 的交易一览
交易： 5

日期	订单编号	SKU	交易类型	付款类型	付款详情	金额	数量	商品名称
2020-12-20	249-8090252-9374207	YY-JP-LDTW40-C1	退款	亚马逊所收费用	商品价格的销售佣金：	￥270		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-20	249-8090252-9374207	YY-JP-LDTW40-C1	退款	亚马逊所收费用	退款管理费用：	￥-27		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-20	249-8090252-9374207	YY-JP-LDTW40-C1	退款	商品价格		￥-1,636	1	JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-20	249-8090252-9374207	YY-JP-LDTW40-C1	退款	其他	商品税：	￥-163		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-19	249-8717006-0075827	NSR-WHTBLK2/7	退款	亚马逊所收费用	商品价格的销售佣金：	￥660		JOISCOPE 組み立て式 シューズボックス DIYブーツラック 靴箱 靴収納ボックス 防塵・防汚・防水 かび対策 大容量 �
2020-12-19	249-8717006-0075827	NSR-WHTBLK2/7	退款	亚马逊所收费用	退款管理费用：	￥-66		JOISCOPE 組み立て式 シューズボックス DIYブーツラック 靴箱 靴収納ボックス 防塵・防汚・防水 かび対策 大容量 �
2020-12-19	249-8717006-0075827	NSR-WHTBLK2/7	退款	商品价格		￥-3,999	1	JOISCOPE 組み立て式 シューズボックス DIYブーツラック 靴箱 靴収納ボックス 防塵・防汚・防水 かび対策 大容量 �
2020-12-19	249-8717006-0075827	NSR-WHTBLK2/7	退款	其他	商品税：	￥-400		JOISCOPE 組み立て式 シューズボックス DIYブーツラック 靴箱 靴収納ボックス 防塵・防汚・防水 かび対策 大容量 �
2020-12-19	249-8717006-0075827	NSR-WHTBLK2/7	退款	其他	重新入库费：	￥2,200		JOISCOPE 組み立て式 シューズボックス DIYブーツラック 靴箱 靴収納ボックス 防塵・防汚・防水 かび対策 大容量 �
2020-12-19	503-2668457-2171003	YY-JP-LDTW40-C1	退款	亚马逊所收费用	商品价格的销售佣金：	￥900		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-19	503-2668457-2171003	YY-JP-LDTW40-C1	退款	亚马逊所收费用	退款管理费用：	￥-90		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-19	503-2668457-2171003	YY-JP-LDTW40-C1	退款	商品价格		￥-5,454	1	JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-19	503-2668457-2171003	YY-JP-LDTW40-C1	退款	其他	商品税：	￥-545		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	亚马逊所收费用	商品价格的销售佣金：	￥1,245		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	亚马逊所收费用	退款管理费用：	￥-125		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	促销返点	运费税：	￥37		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	促销返点	配送：	￥373		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	商品价格		￥-7,545	1	JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	其他	商品税：	￥-754		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	其他	运费税：	￥-37		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-19	249-3880937-4791020	YY-YG-WHT20	退款	其他	配送：	￥-373		JOISCOPE ワードローブ 組み立て式 収納ボックス 扉付き 収納棚 衣類収納 洋服収納ラック  防塵・防汚・防水 145x
2020-12-18	503-7305195-3687862	YY-JP-LDTW40-C1	退款	亚马逊所收费用	商品价格的销售佣金：	￥900		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-18	503-7305195-3687862	YY-JP-LDTW40-C1	退款	亚马逊所收费用	退款管理费用：	￥-90		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-18	503-7305195-3687862	YY-JP-LDTW40-C1	退款	商品价格		￥-5,454	1	JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-18	503-7305195-3687862	YY-JP-LDTW40-C1	退款	其他	商品税：	￥-545		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
2020-12-18	503-7305195-3687862	YY-JP-LDTW40-C1	退款	其他	重新入库费：	￥3,000		JOISCOPE 木目調 パソコンデスク PCデスク ラック付きデスク テレワーク オフィスデスク ウォールナット,40インチ�
