2020年12月1日 至 2020年12月31日 的交易一览
交易： 600     此报告显示不完整，因为超过了 600 条交易记录的最大限制。如果交易报告包含的数据超过 600 条，请使用“所有结算”或“日期范围报告”链接。

日期	订单编号	SKU	交易类型	付款类型	付款详情	金额	数量	商品名称
2020-12-31	114-9164525-1485003	WD002RB12	退款	亚马逊所收费用	商品价格的销售佣金：	US$10.50		JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	114-9164525-1485003	WD002RB12	退款	亚马逊所收费用	退款管理费用：	US$-2.10		JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	114-9164525-1485003	WD002RB12	退款	商品价格		US$-69.99	1	JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	114-9164525-1485003	WD002RB12	退款	其他	商品税：	US$-4.64		JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	114-7568718-0654648	WD002RB8	退款	亚马逊所收费用	商品价格的销售佣金：	US$7.50		MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,
2020-12-31	114-7568718-0654648	WD002RB8	退款	亚马逊所收费用	退款管理费用：	US$-1.50		MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,
2020-12-31	114-7568718-0654648	WD002RB8	退款	商品价格		US$-49.99	1	MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,
2020-12-31	114-7568718-0654648	WD002RB8	退款	其他	商品税：	US$-4.75		MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,
2020-12-31	114-8580894-2351418	WD006HBXJ8	退款	亚马逊所收费用	商品价格的销售佣金：	US$7.50		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	114-8580894-2351418	WD006HBXJ8	退款	亚马逊所收费用	退款管理费用：	US$-1.50		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	114-8580894-2351418	WD006HBXJ8	退款	商品价格		US$-49.99	1	JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	114-8580894-2351418	WD006HBXJ8	退款	其他	商品税：	US$-3.37		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-7807362-2133858	YY-US-DNZTW47-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$13.50		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	111-7807362-2133858	YY-US-DNZTW47-C1	退款	亚马逊所收费用	退款管理费用：	US$-2.70		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	111-7807362-2133858	YY-US-DNZTW47-C1	退款	商品价格		US$-89.99	1	JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	111-7807362-2133858	YY-US-DNZTW47-C1	退款	其他	商品税：	US$-5.96		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	113-0832774-2029049	WD002RB8	退款	亚马逊所收费用	商品价格的销售佣金：	US$7.50		JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	113-0832774-2029049	WD002RB8	退款	亚马逊所收费用	退款管理费用：	US$-1.50		JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	113-0832774-2029049	WD002RB8	退款	商品价格		US$-49.99	1	JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	113-0832774-2029049	WD002RB8	退款	其他	商品税：	US$-3.00		JOISCOPE MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Boo
2020-12-31	114-1328046-9739416	YY-US-DNZTW40-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$16.50		JOISCOPE Computer Desk with Shelves,Laptop Table with Wooden Drawer,40 inches(Vintage Oak Finish)
2020-12-31	114-1328046-9739416	YY-US-DNZTW40-C1	退款	亚马逊所收费用	退款管理费用：	US$-3.30		JOISCOPE Computer Desk with Shelves,Laptop Table with Wooden Drawer,40 inches(Vintage Oak Finish)
2020-12-31	114-1328046-9739416	YY-US-DNZTW40-C1	退款	商品价格		US$-109.99	1	JOISCOPE Computer Desk with Shelves,Laptop Table with Wooden Drawer,40 inches(Vintage Oak Finish)
2020-12-31	114-1328046-9739416	YY-US-DNZTW40-C1	退款	其他	商品税：	US$-9.49		JOISCOPE Computer Desk with Shelves,Laptop Table with Wooden Drawer,40 inches(Vintage Oak Finish)
2020-12-31	113-2845126-2397029	WD005BFTZ20	退款	亚马逊所收费用	商品价格的销售佣金：	US$14.85		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	113-2845126-2397029	WD005BFTZ20	退款	亚马逊所收费用	退款管理费用：	US$-2.97		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	113-2845126-2397029	WD005BFTZ20	退款	商品价格		US$-98.99	1	JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-6584229-3003438	WD005BFTZ12	退款	亚马逊所收费用	商品价格的销售佣金：	US$10.50		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-6584229-3003438	WD005BFTZ12	退款	亚马逊所收费用	退款管理费用：	US$-2.10		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-6584229-3003438	WD005BFTZ12	退款	商品价格		US$-69.99	1	JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-6584229-3003438	WD005BFTZ12	退款	其他	商品税：	US$-6.65		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-8278793-9064222	YY-US-DNZTW55-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$16.50		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,55 inches(Vin
2020-12-31	112-8278793-9064222	YY-US-DNZTW55-C1	退款	亚马逊所收费用	退款管理费用：	US$-3.30		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,55 inches(Vin
2020-12-31	112-8278793-9064222	YY-US-DNZTW55-C1	退款	商品价格		US$-109.99	1	JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,55 inches(Vin
2020-12-31	112-8278793-9064222	YY-US-DNZTW55-C1	退款	其他	商品税：	US$-6.60		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,55 inches(Vin
2020-12-31	111-3015569-1083468	WD005BFTZ12	退款	亚马逊所收费用	商品价格的销售佣金：	US$10.50		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-3015569-1083468	WD005BFTZ12	退款	亚马逊所收费用	退款管理费用：	US$-2.10		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-3015569-1083468	WD005BFTZ12	退款	商品价格		US$-69.99	1	JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-3015569-1083468	WD005BFTZ12	退款	其他	商品税：	US$-4.20		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-6432842-3142637	YY-US-DNZTW47-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$13.50		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	112-6432842-3142637	YY-US-DNZTW47-C1	退款	亚马逊所收费用	退款管理费用：	US$-2.70		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	112-6432842-3142637	YY-US-DNZTW47-C1	退款	商品价格		US$-89.99	1	JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	112-6432842-3142637	YY-US-DNZTW47-C1	退款	其他	商品税：	US$-5.62		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche
2020-12-31	112-7284577-6483468	YY-US-DNZE2-63-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$18.90		JOISCOPE Computer Desk with Honeycomb Panel for Home Office, PC Laptop Study Writing Table Workstation, Modern Simple Style, 63 inches(Vintage Oak Fin
2020-12-31	112-7284577-6483468	YY-US-DNZE2-63-C1	退款	亚马逊所收费用	退款管理费用：	US$-3.78		JOISCOPE Computer Desk with Honeycomb Panel for Home Office, PC Laptop Study Writing Table Workstation, Modern Simple Style, 63 inches(Vintage Oak Fin
2020-12-31	112-7284577-6483468	YY-US-DNZE2-63-C1	退款	商品价格		US$-125.99	1	JOISCOPE Computer Desk with Honeycomb Panel for Home Office, PC Laptop Study Writing Table Workstation, Modern Simple Style, 63 inches(Vintage Oak Fin
2020-12-31	112-7284577-6483468	YY-US-DNZE2-63-C1	退款	其他	商品税：	US$-10.24		JOISCOPE Computer Desk with Honeycomb Panel for Home Office, PC Laptop Study Writing Table Workstation, Modern Simple Style, 63 inches(Vintage Oak Fin
2020-12-31	114-1561277-2250635	YY-US-DNZTW40-C5	退款	亚马逊所收费用	商品价格的销售佣金：	US$12.00		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-31	114-1561277-2250635	YY-US-DNZTW40-C5	退款	亚马逊所收费用	退款管理费用：	US$-2.40		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-31	114-1561277-2250635	YY-US-DNZTW40-C5	退款	商品价格		US$-79.99	1	JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-31	114-1561277-2250635	YY-US-DNZTW40-C5	退款	其他	商品税：	US$-5.00		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-31	112-1703878-2466603	WD005BFTZ12	退款	亚马逊所收费用	商品价格的销售佣金：	US$10.50		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-1703878-2466603	WD005BFTZ12	退款	亚马逊所收费用	退款管理费用：	US$-2.10		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-1703878-2466603	WD005BFTZ12	退款	商品价格		US$-69.99	1	JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	112-1703878-2466603	WD005BFTZ12	退款	其他	商品税：	US$-6.65		JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T
2020-12-31	111-6927608-3545860	YY-US-DNZTW63-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$18.00		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	111-6927608-3545860	YY-US-DNZTW63-C1	退款	亚马逊所收费用	退款管理费用：	US$-3.60		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	111-6927608-3545860	YY-US-DNZTW63-C1	退款	商品价格		US$-119.99	1	JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	111-6927608-3545860	YY-US-DNZTW63-C1	退款	其他	商品税：	US$-11.10		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	113-4677456-2997066	YY-US-DNZTW63-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$17.40		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	113-4677456-2997066	YY-US-DNZTW63-C1	退款	亚马逊所收费用	退款管理费用：	US$-3.48		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	113-4677456-2997066	YY-US-DNZTW63-C1	退款	商品价格		US$-115.99	1	JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-31	113-4677456-2997066	YY-US-DNZTW63-C1	退款	其他	商品税：	US$-11.02		JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,60 inches(Vin
2020-12-30	114-5504888-7102649	YY-US-DNZTW40-C1	退款	亚马逊所收费用	商品价格的销售佣金：	US$12.00		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-30	114-5504888-7102649	YY-US-DNZTW40-C1	退款	亚马逊所收费用	退款管理费用：	US$-2.40		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-30	114-5504888-7102649	YY-US-DNZTW40-C1	退款	商品价格		US$-79.99	1	JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-30	114-5504888-7102649	YY-US-DNZTW40-C1	退款	其他	商品税：	US$-4.80		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-30	113-7576090-2606626	YY-US-DNZTW40-C5	退款	亚马逊所收费用	商品价格的销售佣金：	US$12.00		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-30	113-7576090-2606626	YY-US-DNZTW40-C5	退款	亚马逊所收费用	退款管理费用：	US$-2.40		JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
2020-12-30	113-7576090-2606626	YY-US-DNZTW40-C5	退款	商品价格		US$-79.99	1	JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche
