"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2020-12-13T23:58:31-08:00","701-4114726-6040225","XG-HQBM2/7","B08F7P4YB8","X002LTJPQT","JOISCOPE MEGAFUTURE Torre organizadora de almacenamiento de zapatos portátil, gabinete modular para ahorrar espacio, zapatero ideal para zapatos, bot","1","MEX1","CUSTOMER_DAMAGED","MISSING_PARTS","Unit returned to inventory","LPNPM175351616",
"2020-12-13T23:16:21-08:00","114-4051471-9352230","YY-US-DNZTW55-C1","B083PQTQ5N","X002FM8QKX","JOISCOPE Home Office Computer Desk, Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,55 inches(Vin","1","CVG2","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNRRAR5320941",
"2020-12-13T23:11:44-08:00","111-0589067-4792206","YY-US-DNZTW40-C5","B083PQRN8Z","X002FLSDKR","JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche","1","CVG2","CARRIER_DAMAGED","UNDELIVERABLE_UNKNOWN","Reimbursed","LPNRRAP0444431",
"2020-12-13T21:49:42-08:00","702-9666586-3019453","ZR-ZWJ-BK-12","B07TR2VFLK","X00291VBDJ","SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes Black Multi-Function Space-Saving Shelves Plastic Sheves Rack","1","YVR3","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN839444404",
"2020-12-13T21:33:40-08:00","114-4098533-2210604","WD005BFTZ20","B074SGXNXG","X001JE3YQJ","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","CVG2","DEFECTIVE","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNRRAN5751306","Item is damaged."
"2020-12-13T19:12:33-08:00","114-9993961-8242668","WD002RB20","B074FLPTG8","X001IJ0E9P","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Toys, Towels","1","CVG2","CARRIER_DAMAGED","UNDELIVERABLE_REFUSED","Reimbursed","LPNRRAO4877211",
"2020-12-13T18:09:32-08:00","113-9342703-0005859","SR002YH2/8","B074FFTR9Q","X001IITWPX","JOISCOPE MEGAFUTURE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (3x7-tier)","1","LUK7","CARRIER_DAMAGED","ORDERED_WRONG_ITEM","Reimbursed","LPNRRAH9623211",
"2020-12-13T16:32:38-08:00","111-2540863-9403417","YY-US-DNZTW40-C5","B083PQRN8Z","X002FLSDKR","JOISCOPE Computer Desk with Shelves,Laptop Table with Wooden Drawer,40 inches(Black Oak Finish)","1","CVG2","CARRIER_DAMAGED","UNDELIVERABLE_UNKNOWN","Reimbursed","LPNRRAO4578450",
"2020-12-13T14:28:26-08:00","112-4232794-4398654","YY-US-DNZTW47-C1","B083PVDB91","X002FM8QKN","JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche","1","TUS1","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNPM292955436",
"2020-12-13T13:28:21-08:00","702-5851162-7347469","ZR-ZWJ-WHT-6","B07TNZLSX3","X00293T78X","SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes White Multi-Function Space-Saving Shelves Plastic Sheves Rack","1","YVR3","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN757383578",
"2020-12-13T10:27:31-08:00","702-2689391-1204232","ZR-ZWJ-WHT-12","B07TNZPG9Y","X00292UOVX","SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 12 Cubes White Multi-Function Space-Saving Shelves Plastic Sheves Rack","1","YVR3","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN801072531",
"2020-12-13T10:13:58-08:00","701-7925350-1242647","ZR-ZWJ-WHT-6","B07TNZLSX3","X00293T78X","SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes White Multi-Function Space-Saving Shelves Plastic Sheves Rack","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN864224809",
"2020-12-13T09:42:16-08:00","111-7744447-9970644","YY-US-DNZTW47-C1","B083PVDB91","X002FM8QKN","JOISCOPE Computer Desk with Shelves,Laptop Table with Wooden Drawer,47 inches(Vintage Oak Finish)","1","TUS1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPM269503618",
"2020-12-13T09:26:35-08:00","114-8730534-0864218","WD002RB16","B074FGP78K","X001IJ516L","MEGAFUTURE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys,","1","TUS1","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Unit returned to inventory","LPNPM297154819",
"2020-12-13T09:11:49-08:00","702-9967295-3870619","NSR-CA-TMWHT2/7","B08688JDT4","X002HX0BGR","JOISCOPE Portable Shoe Storage Organizer Tower, White, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2 * 7-","1","YVR3","CARRIER_DAMAGED","QUALITY_UNACCEPTABLE","Reimbursed","LPNN801072556",
"2020-12-13T09:06:53-08:00","114-1524375-0335464","WD006HBXJ8","B075RVVQQF","X001KSUT67","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","LUK7","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNRRAC5080645",
"2020-12-13T06:58:21-08:00","114-1641191-5903431","YY-US-DNZTW47-C1","B083PVDB91","X002FM8QKN","JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,47 inche","1","TUS1","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNPM267706205",
"2020-12-13T05:50:04-08:00","702-2752018-7524213","XG-WHT2/5","B07FVRXCPD","X0026KQ9F3","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Shoe Cabinet for Space Saving, Shoe Racks Ideal for Shoes, Boots, Slippers(2 * 5)","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN888162293",
"2020-12-13T05:25:28-08:00","701-6205436-6908212","ZR-ZWJ-WHT-9","B07TKRNZXW","X00293SPDL","SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 9 Cubes White Multi-Function Space-Saving Shelves Plastic Sheves Rack","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN872272686",
"2020-12-13T04:48:01-08:00","114-0421277-1547436","YY-US-DNZTW40-C1","B083PRC6RB","X002FM8QKD","JOISCOPE Home Office Computer Desk,Small Study Writing Desk with Wooden Storage Shelf,2-Tier Industrial Morden Laptop Table with Splice Board,40 inche","1","CVG2","CARRIER_DAMAGED","UNDELIVERABLE_UNCLAIMED","Reimbursed","LPNRRAO0562101",
"2020-12-13T01:19:58-08:00","701-0434846-6838669","ZR-ZWJ-WHT-6","B07TNZLSX3","X00293T78X","SIMPDIY Portable Storage Organizer Plastic Cubes Sturdy Bookshelf 6 Cubes White Multi-Function Space-Saving Shelves Plastic Sheves Rack","1","YYZ1","CUSTOMER_DAMAGED","QUALITY_UNACCEPTABLE","Unit returned to inventory","LPNN864224929",
